UNICLASS,PRICE_NEW
Pr_30_59_33_33,199.95
Pr_30_59_33_38,52.95
Pr_30_59_33_52,154.4125
Pr_30_59_34_01,29.46875
Pr_30_59_34_17,10.725
Pr_30_59_34_19,21.085
Pr_30_59_34_22,29.9125
Pr_30_59_34_34,38.30785714285714
Pr_30_59_34_35,109.95
Pr_30_59_34_41,16.45
Pr_30_59_34_64,93.7375
Pr_30_59_34_88,29.95
Pr_30_59_34_90,39.95
Pr_30_59_48,141.63119999999998
Pr_30_59_48_02,22.95
Pr_30_59_48_04,92.65
Pr_30_59_48_52,23.3
Pr_30_59_48_65,28.450000000000003
Pr_30_59_48_83,29.9
Pr_30_59_48_84,20.53
Pr_30_59_48_85,7.909999999999999
Pr_30_59_48_96,475.5
Pr_30_59_48_97,49.95
Pr_30_59_48_98,123.46777777777778
Pr_30_59_57_07,6.95
Pr_30_59_57_08,47.95
Pr_30_59_57_40,84.95
Pr_30_59_57_58,77.01666666666667
Pr_30_59_58_50,39.95
Pr_30_59_58_88,99.95
Pr_30_59_59_38,58.26958333333334
Pr_30_59_72_17,17.95
Pr_30_59_72_24,399.0
Pr_30_59_72_25,42.0
Pr_30_59_72_46,16.616666666666664
Pr_30_59_94,102.95
Pr_30_59_94_04,22.45
Pr_30_59_94_26,122.39696969696969
Pr_30_59_94_78,77.34375
Pr_30_59_96_11,39.949999999999996
Pr_30_59_97,6.35
Pr_30_59_98_13,25.34
Pr_30_59_98_34,12.5
Pr_30_59_98_96,11.483333333333334
Pr_30_59_99,182.5
Pr_30_59_99_02,19.95
Pr_35_31_05_60,102.93
Pr_35_31_05_70,22.95
Pr_35_31_06_28,2.95
Pr_35_31_06_31,7.7
Pr_35_31_06_38,39.95
Pr_35_31_22,8.207142857142857
Pr_35_31_22_23,59.39444444444444
Pr_35_31_22_37,19.401923076923076
Pr_35_31_22_55,22.5
Pr_35_31_22_64,6.225
Pr_35_31_22_81,9.95
Pr_35_31_22_87,11.95
Pr_35_31_22_96,15.955
Pr_35_31_64_01,48.95
Pr_35_31_64_02,18.725
Pr_35_31_64_29,37.17
Pr_35_31_64_31,9.95
Pr_35_31_64_35,18.71666666666667
Pr_35_31_64_47,20.475
Pr_35_31_64_48,29.330000000000002
Pr_35_31_64_64,19.95
Pr_35_31_64_76,106.52569444444445
Pr_35_31_64_77,12.6640625
Pr_35_31_64_98,22.95
Pr_35_31_64_99,19.95
Pr_35_31_65_01,69.1
Pr_35_31_65_12,15.5
Pr_35_31_65_20,8.1125
Pr_35_31_65_21,17.692857142857143
Pr_35_31_65_22,12.549999999999999
Pr_35_31_65_24,135.6
Pr_35_31_65_25,15.45
Pr_35_31_65_27,7.5
Pr_35_31_65_74,17.5
Pr_35_31_65_82,11.5
Pr_35_31_66_03,90.09
Pr_35_31_66_08,272.69375
Pr_35_31_66_22,3.95
Pr_35_31_66_51,22.45
Pr_35_31_66_57,21.95
Pr_35_31_66_60,8.25
Pr_35_31_66_67,34.306
Pr_35_31_66_70,59.95
Pr_35_31_66_71,19.95
Pr_35_31_66_75,509.0
Pr_35_31_66_77,1.1
Pr_35_31_66_81,237.34375
Pr_35_31_66_83,84.31666666666666
Pr_35_31_66_88,19.0375
Pr_35_31_66_92,13.55
Pr_35_31_66_96,59.95
Pr_35_31_66_98,476.3333333333333
Pr_35_31_67,13.5
Pr_35_31_67_01,38.95
Pr_35_31_67_07,1.625
Pr_35_31_67_08,10.283333333333333
Pr_35_31_67_34,12.95
Pr_35_31_67_42,13.5
Pr_35_31_68,15.283333333333331
