,IFC,raw
1643,sensor,IfcSensor
1644,sensor,IfcSensor
1645,sensor,IfcSensor
1646,sensor,IfcSensor
1647,sensor,IfcSensor
1648,sensor,IfcSensor
1649,sensor,IfcSensor
1650,sensor,IfcSensor
1651,sensor,IfcSensor
1652,sensor,IfcSensor
1653,sensor,IfcSensor
1654,sensor,IfcSensor
1655,sensor,IfcSensor
1656,sensor,IfcSensor
1657,sensor,IfcSensor
1658,sensor,IfcSensor
1659,sensor,IfcSensor
1660,sensor,IfcSensor
1661,sensor,IfcSensor
1662,sensor,IfcSensor
1663,sensor,IfcSensor
1664,sensor,IfcSensor
1665,sensor,IfcSensor
1666,sensor,IfcSensor
1667,sensor,IfcSensor
1668,sensor,IfcSensor
1669,sensor,IfcSensor
1670,unitary control  element,IfcUnitaryControlElement
1671,unitary control  element,IfcUnitaryControlElement
1672,unitary control  element,IfcUnitaryControlElement
1673,unitary control  element,IfcUnitaryControlElement
1674,unitary control  element,IfcUnitaryControlElement
1675,unitary control  element,IfcUnitaryControlElement
1676,unitary control  element,IfcUnitaryControlElement
1677,unitary control  element,IfcUnitaryControlElement
1678,unitary control  element,IfcUnitaryControlElement
1679,unitary control  element,IfcUnitaryControlElement
1680,unitary control  element,IfcUnitaryControlElement
1681,unitary control  element,IfcUnitaryControlElement
1682,audio visual  appliance,IfcAudioVisualAppliance
1683,audio visual  appliance,IfcAudioVisualAppliance
1684,audio visual  appliance,IfcAudioVisualAppliance
1685,audio visual  appliance,IfcAudioVisualAppliance
1686,audio visual  appliance,IfcAudioVisualAppliance
1687,audio visual  appliance,IfcAudioVisualAppliance
1688,audio visual  appliance,IfcAudioVisualAppliance
1689,audio visual  appliance,IfcAudioVisualAppliance
1690,audio visual  appliance,IfcAudioVisualAppliance
1691,audio visual  appliance,IfcAudioVisualAppliance
1692,audio visual  appliance,IfcAudioVisualAppliance
1693,audio visual  appliance,IfcAudioVisualAppliance
1694,audio visual  appliance,IfcAudioVisualAppliance
1695,audio visual  appliance,IfcAudioVisualAppliance
1696,audio visual  appliance,IfcAudioVisualAppliance
1697,cable carrier  fitting,IfcCableCarrierFitting
1698,cable carrier  fitting,IfcCableCarrierFitting
1699,cable carrier  fitting,IfcCableCarrierFitting
1700,cable carrier  fitting,IfcCableCarrierFitting
1701,cable carrier  fitting,IfcCableCarrierFitting
1702,cable carrier  fitting,IfcCableCarrierFitting
1703,cable carrier  fitting,IfcCableCarrierFitting
1704,cable carrier  fitting,IfcCableCarrierFitting
1705,cable carrier  fitting,IfcCableCarrierFitting
1706,cable carrier  segment,IfcCableCarrierSegment
1707,cable carrier  segment,IfcCableCarrierSegment
1708,cable carrier  segment,IfcCableCarrierSegment
1709,cable carrier  segment,IfcCableCarrierSegment
1710,cable carrier  segment,IfcCableCarrierSegment
1711,cable carrier  segment,IfcCableCarrierSegment
1712,cable carrier  segment,IfcCableCarrierSegment
1713,cable carrier  segment,IfcCableCarrierSegment
1714,cable carrier  segment,IfcCableCarrierSegment
1715,cable  fitting,IfcCableFitting
1716,cable  fitting,IfcCableFitting
1717,cable  fitting,IfcCableFitting
1718,cable  fitting,IfcCableFitting
1719,cable  fitting,IfcCableFitting
1720,cable  fitting,IfcCableFitting
1721,cable  fitting,IfcCableFitting
1722,cable  fitting,IfcCableFitting
1723,cable  segment,IfcCableSegment
1724,cable  segment,IfcCableSegment
1725,cable  segment,IfcCableSegment
1726,cable  segment,IfcCableSegment
1727,cable  segment,IfcCableSegment
1728,cable  segment,IfcCableSegment
1729,cable  segment,IfcCableSegment
1730,cable  segment,IfcCableSegment
1731,cable  segment,IfcCableSegment
1732,cable  segment,IfcCableSegment
1733,cable  segment,IfcCableSegment
1734,cable  segment,IfcCableSegment
1735,communications  appliance,IfcCommunicationsAppliance
1736,communications  appliance,IfcCommunicationsAppliance
1737,communications  appliance,IfcCommunicationsAppliance
1738,communications  appliance,IfcCommunicationsAppliance
1739,communications  appliance,IfcCommunicationsAppliance
1740,communications  appliance,IfcCommunicationsAppliance
1741,communications  appliance,IfcCommunicationsAppliance
1742,communications  appliance,IfcCommunicationsAppliance
1743,communications  appliance,IfcCommunicationsAppliance
1744,communications  appliance,IfcCommunicationsAppliance
1745,communications  appliance,IfcCommunicationsAppliance
1746,communications  appliance,IfcCommunicationsAppliance
1747,communications  appliance,IfcCommunicationsAppliance
1748,communications  appliance,IfcCommunicationsAppliance
1749,communications  appliance,IfcCommunicationsAppliance
1750,communications  appliance,IfcCommunicationsAppliance
1751,communications  appliance,IfcCommunicationsAppliance
1752,communications  appliance,IfcCommunicationsAppliance
1753,communications  appliance,IfcCommunicationsAppliance
1754,communications  appliance,IfcCommunicationsAppliance
1755,communications  appliance,IfcCommunicationsAppliance
1756,communications  appliance,IfcCommunicationsAppliance
1757,communications  appliance,IfcCommunicationsAppliance
1758,communications  appliance,IfcCommunicationsAppliance
1759,communications  appliance,IfcCommunicationsAppliance
1760,communications  appliance,IfcCommunicationsAppliance
1761,distribution  board,IfcDistributionBoard
1762,distribution  board,IfcDistributionBoard
1763,distribution  board,IfcDistributionBoard
1764,distribution  board,IfcDistributionBoard
1765,distribution  board,IfcDistributionBoard
1766,distribution  board,IfcDistributionBoard
1767,distribution  board,IfcDistributionBoard
1768,distribution  board,IfcDistributionBoard
1769,electric  appliance,IfcElectricAppliance
1770,electric  appliance,IfcElectricAppliance
1771,electric  appliance,IfcElectricAppliance
1772,electric  appliance,IfcElectricAppliance
1773,electric  appliance,IfcElectricAppliance
1774,electric  appliance,IfcElectricAppliance
1775,electric  appliance,IfcElectricAppliance
1776,electric  appliance,IfcElectricAppliance
1777,electric  appliance,IfcElectricAppliance
1778,electric  appliance,IfcElectricAppliance
1779,electric  appliance,IfcElectricAppliance
1780,electric  appliance,IfcElectricAppliance
1781,electric  appliance,IfcElectricAppliance
1782,electric  appliance,IfcElectricAppliance
1783,electric  appliance,IfcElectricAppliance
1784,electric  appliance,IfcElectricAppliance
1785,electric  appliance,IfcElectricAppliance
1786,electric  appliance,IfcElectricAppliance
1787,electric distribution  board,IfcElectricDistributionBoard
1788,electric distribution  board,IfcElectricDistributionBoard
1789,electric distribution  board,IfcElectricDistributionBoard
1790,electric distribution  board,IfcElectricDistributionBoard
1791,electric distribution  board,IfcElectricDistributionBoard
1792,electric distribution  board,IfcElectricDistributionBoard
1793,electric flow storage  device,IfcElectricFlowStorageDevice
1794,electric flow storage  device,IfcElectricFlowStorageDevice
1795,electric flow storage  device,IfcElectricFlowStorageDevice
1796,electric flow storage  device,IfcElectricFlowStorageDevice
1797,electric flow storage  device,IfcElectricFlowStorageDevice
1798,electric flow storage  device,IfcElectricFlowStorageDevice
1799,electric flow storage  device,IfcElectricFlowStorageDevice
1800,electric flow storage  device,IfcElectricFlowStorageDevice
