,IFC,raw
573,heat pipe,IfcAirToAirHeatRecovery.HEATPIPE
574,rotary wheel,IfcAirToAirHeatRecovery.ROTARYWHEEL
575,runaroundcoil loop,IfcAirToAirHeatRecovery.RUNAROUNDCOILLOOP
576,thermosiphoncoiltypeheat exchangers,IfcAirToAirHeatRecovery.THERMOSIPHONCOILTYPEHEATEXCHANGERS
577,thermosiphonsealedtubeheat exchangers,IfcAirToAirHeatRecovery.THERMOSIPHONSEALEDTUBEHEATEXCHANGERS
578,twintowerenthalpyrecovery loops,IfcAirToAirHeatRecovery.TWINTOWERENTHALPYRECOVERYLOOPS
579,user defined,IfcAirToAirHeatRecovery.USERDEFINED
580,not defined,IfcAirToAirHeatRecovery.NOTDEFINED
581,steam,IfcBoiler.STEAM
582,water,IfcBoiler.WATER
583,user defined,IfcBoiler.USERDEFINED
584,not defined,IfcBoiler.NOTDEFINED
585,user defined,IfcBurner.USERDEFINED
586,not defined,IfcBurner.NOTDEFINED
587,air cooled,IfcChiller.AIRCOOLED
588,heat recovery,IfcChiller.HEATRECOVERY
589,water cooled,IfcChiller.WATERCOOLED
590,user defined,IfcChiller.USERDEFINED
591,not defined,IfcChiller.NOTDEFINED
592,dxcooling  coil,IfcCoil.DXCOOLINGCOIL
593,electricheating  coil,IfcCoil.ELECTRICHEATINGCOIL
594,gasheating  coil,IfcCoil.GASHEATINGCOIL
595,hydronic  coil,IfcCoil.HYDRONICCOIL
596,steamheating  coil,IfcCoil.STEAMHEATINGCOIL
597,watercooling  coil,IfcCoil.WATERCOOLINGCOIL
598,waterheating  coil,IfcCoil.WATERHEATINGCOIL
599,user defined,IfcCoil.USERDEFINED
600,not defined,IfcCoil.NOTDEFINED
601,booster,IfcCompressor.BOOSTER
602,dynamic,IfcCompressor.DYNAMIC
603,hermetic,IfcCompressor.HERMETIC
604,open type,IfcCompressor.OPENTYPE
605,reciprocating,IfcCompressor.RECIPROCATING
606,rolling piston,IfcCompressor.ROLLINGPISTON
607,rotary,IfcCompressor.ROTARY
608,rotary vane,IfcCompressor.ROTARYVANE
609,scroll,IfcCompressor.SCROLL
610,semi hermetic,IfcCompressor.SEMIHERMETIC
611,single screw,IfcCompressor.SINGLESCREW
612,single stage,IfcCompressor.SINGLESTAGE
613,trochoi dal,IfcCompressor.TROCHOIDAL
614,twin screw,IfcCompressor.TWINSCREW
615,weldedshell hermetic,IfcCompressor.WELDEDSHELLHERMETIC
616,user defined,IfcCompressor.USERDEFINED
617,not defined,IfcCompressor.NOTDEFINED
618,air cooled,IfcCondenser.AIRCOOLED
619,evaporative cooled,IfcCondenser.EVAPORATIVECOOLED
620,water cooled,IfcCondenser.WATERCOOLED
621,watercooledbrazed plate,IfcCondenser.WATERCOOLEDBRAZEDPLATE
622,watercooledshell coil,IfcCondenser.WATERCOOLEDSHELLCOIL
623,watercooledshell tube,IfcCondenser.WATERCOOLEDSHELLTUBE
624,watercooledtubein tube,IfcCondenser.WATERCOOLEDTUBEINTUBE
625,user defined,IfcCondenser.USERDEFINED
626,not defined,IfcCondenser.NOTDEFINED
627,active,IfcCooledBeam.ACTIVE
628,passive,IfcCooledBeam.PASSIVE
629,user defined,IfcCooledBeam.USERDEFINED
630,not defined,IfcCooledBeam.NOTDEFINED
631,mechanicalforced draft,IfcCoolingTower.MECHANICALFORCEDDRAFT
632,mechanicalinduced draft,IfcCoolingTower.MECHANICALINDUCEDDRAFT
633,natural draft,IfcCoolingTower.NATURALDRAFT
634,user defined,IfcCoolingTower.USERDEFINED
635,not defined,IfcCoolingTower.NOTDEFINED
636,backdraft  damper,IfcDamper.BACKDRAFTDAMPER
637,balancing  damper,IfcDamper.BALANCINGDAMPER
638,blast  damper,IfcDamper.BLASTDAMPER
639,control  damper,IfcDamper.CONTROLDAMPER
640,fire  damper,IfcDamper.FIREDAMPER
641,firesmoke  damper,IfcDamper.FIRESMOKEDAMPER
642,fumehood exhaust,IfcDamper.FUMEHOODEXHAUST
643,gravity  damper,IfcDamper.GRAVITYDAMPER
644,gravityrelief  damper,IfcDamper.GRAVITYRELIEFDAMPER
645,relief  damper,IfcDamper.RELIEFDAMPER
646,smoke  damper,IfcDamper.SMOKEDAMPER
647,user defined,IfcDamper.USERDEFINED
648,not defined,IfcDamper.NOTDEFINED
649,bend,IfcDuctFitting.BEND
650,connector,IfcDuctFitting.CONNECTOR
651,entry,IfcDuctFitting.ENTRY
652,exit,IfcDuctFitting.EXIT
653,junction,IfcDuctFitting.JUNCTION
654,obstruction,IfcDuctFitting.OBSTRUCTION
655,transition,IfcDuctFitting.TRANSITION
656,user defined,IfcDuctFitting.USERDEFINED
657,not defined,IfcDuctFitting.NOTDEFINED
658,flexible segment,IfcDuctSegment.FLEXIBLESEGMENT
659,rigid segment,IfcDuctSegment.RIGIDSEGMENT
660,user defined,IfcDuctSegment.USERDEFINED
661,not defined,IfcDuctSegment.NOTDEFINED
662,flat oval,IfcDuctSilencer.FLATOVAL
663,rectangular,IfcDuctSilencer.RECTANGULAR
664,round,IfcDuctSilencer.ROUND
665,user defined,IfcDuctSilencer.USERDEFINED
666,not defined,IfcDuctSilencer.NOTDEFINED
667,external combustion,IfcEngine.EXTERNALCOMBUSTION
668,internal combustion,IfcEngine.INTERNALCOMBUSTION
669,user defined,IfcEngine.USERDEFINED
670,not defined,IfcEngine.NOTDEFINED
671,directevaporativeair washer,IfcEvaporativeCooler.DIRECTEVAPORATIVEAIRWASHER
672,directevaporativepackagedrotaryair cooler,IfcEvaporativeCooler.DIRECTEVAPORATIVEPACKAGEDROTARYAIRCOOLER
673,directevaporativerandommediaair cooler,IfcEvaporativeCooler.DIRECTEVAPORATIVERANDOMMEDIAAIRCOOLER
674,directevaporativerigidmediaair cooler,IfcEvaporativeCooler.DIRECTEVAPORATIVERIGIDMEDIAAIRCOOLER
675,directevaporativeslingerspackagedair cooler,IfcEvaporativeCooler.DIRECTEVAPORATIVESLINGERSPACKAGEDAIRCOOLER
676,indirectdirect combination,IfcEvaporativeCooler.INDIRECTDIRECTCOMBINATION
677,indirectevaporativecoolingtowerorcoil cooler,IfcEvaporativeCooler.INDIRECTEVAPORATIVECOOLINGTOWERORCOILCOOLER
678,indirectevaporativepackageair cooler,IfcEvaporativeCooler.INDIRECTEVAPORATIVEPACKAGEAIRCOOLER
679,indirectevaporativewet coil,IfcEvaporativeCooler.INDIRECTEVAPORATIVEWETCOIL
680,user defined,IfcEvaporativeCooler.USERDEFINED
681,not defined,IfcEvaporativeCooler.NOTDEFINED
682,direct expansion,IfcEvaporator.DIRECTEXPANSION
683,directexpansionbrazed plate,IfcEvaporator.DIRECTEXPANSIONBRAZEDPLATE
684,directexpansionshelland tube,IfcEvaporator.DIRECTEXPANSIONSHELLANDTUBE
685,directexpansiontubein tube,IfcEvaporator.DIRECTEXPANSIONTUBEINTUBE
686,floodedshelland tube,IfcEvaporator.FLOODEDSHELLANDTUBE
687,shelland coil,IfcEvaporator.SHELLANDCOIL
688,user defined,IfcEvaporator.USERDEFINED
689,not defined,IfcEvaporator.NOTDEFINED
690,centrifugal airfoil,IfcFan.CENTRIFUGALAIRFOIL
691,centrifugalbackwardinclined curved,IfcFan.CENTRIFUGALBACKWARDINCLINEDCURVED
692,centrifugalforward curved,IfcFan.CENTRIFUGALFORWARDCURVED
693,centrifugal radial,IfcFan.CENTRIFUGALRADIAL
694,propellor axial,IfcFan.PROPELLORAXIAL
695,tube axial,IfcFan.TUBEAXIAL
696,vane axial,IfcFan.VANEAXIAL
697,user defined,IfcFan.USERDEFINED
698,not defined,IfcFan.NOTDEFINED
699,airparticle  filter,IfcFilter.AIRPARTICLEFILTER
700,compressedair  filter,IfcFilter.COMPRESSEDAIRFILTER
701,odor  filter,IfcFilter.ODORFILTER
702,oil  filter,IfcFilter.OILFILTER
703,strainer,IfcFilter.STRAINER
704,water  filter,IfcFilter.WATERFILTER
705,user defined,IfcFilter.USERDEFINED
706,not defined,IfcFilter.NOTDEFINED
707,energy meter,IfcFlowMeter.ENERGYMETER
708,gas meter,IfcFlowMeter.GASMETER
709,oil meter,IfcFlowMeter.OILMETER
710,water meter,IfcFlowMeter.WATERMETER
711,user defined,IfcFlowMeter.USERDEFINED
712,not defined,IfcFlowMeter.NOTDEFINED
713,plate,IfcHeatExchanger.PLATE
714,shelland tube,IfcHeatExchanger.SHELLANDTUBE
715,turnout heating,IfcHeatExchanger.TURNOUTHEATING
716,user defined,IfcHeatExchanger.USERDEFINED
717,not defined,IfcHeatExchanger.NOTDEFINED
718,adiabaticair washer,IfcHumidifier.ADIABATICAIRWASHER
719,adiabatic atomizing,IfcHumidifier.ADIABATICATOMIZING
720,adiabaticcompressedair nozzle,IfcHumidifier.ADIABATICCOMPRESSEDAIRNOZZLE
721,adiabatic pan,IfcHumidifier.ADIABATICPAN
722,adiabaticrigid media,IfcHumidifier.ADIABATICRIGIDMEDIA
723,adiabatic ultrasonic,IfcHumidifier.ADIABATICULTRASONIC
724,adiabaticwetted element,IfcHumidifier.ADIABATICWETTEDELEMENT
725,assisted butane,IfcHumidifier.ASSISTEDBUTANE
726,assisted electric,IfcHumidifier.ASSISTEDELECTRIC
727,assistednatur algas,IfcHumidifier.ASSISTEDNATURALGAS
728,assisted propane,IfcHumidifier.ASSISTEDPROPANE
729,assisted steam,IfcHumidifier.ASSISTEDSTEAM
730,steam injection,IfcHumidifier.STEAMINJECTION
731,user defined,IfcHumidifier.USERDEFINED
732,not defined,IfcHumidifier.NOTDEFINED
733,air station,IfcMedicalDevice.AIRSTATION
734,feedair unit,IfcMedicalDevice.FEEDAIRUNIT
735,oxygen generator,IfcMedicalDevice.OXYGENGENERATOR
736,oxygen plant,IfcMedicalDevice.OXYGENPLANT
737,vacuum station,IfcMedicalDevice.VACUUMSTATION
738,user defined,IfcMedicalDevice.USERDEFINED
739,not defined,IfcMedicalDevice.NOTDEFINED
740,bend,IfcPipeFitting.BEND
741,connector,IfcPipeFitting.CONNECTOR
742,entry,IfcPipeFitting.ENTRY
743,exit,IfcPipeFitting.EXIT
744,junction,IfcPipeFitting.JUNCTION
745,obstruction,IfcPipeFitting.OBSTRUCTION
746,transition,IfcPipeFitting.TRANSITION
747,user defined,IfcPipeFitting.USERDEFINED
748,not defined,IfcPipeFitting.NOTDEFINED
749,culvert,IfcPipeSegment.CULVERT
750,flexible segment,IfcPipeSegment.FLEXIBLESEGMENT
751,gutter,IfcPipeSegment.GUTTER
752,rigid segment,IfcPipeSegment.RIGIDSEGMENT
753,spool,IfcPipeSegment.SPOOL
754,user defined,IfcPipeSegment.USERDEFINED
755,not defined,IfcPipeSegment.NOTDEFINED
756,circula tor,IfcPump.CIRCULATOR
757,end suction,IfcPump.ENDSUCTION
758,split case,IfcPump.SPLITCASE
759,submersible  pump,IfcPump.SUBMERSIBLEPUMP
760,sump  pump,IfcPump.SUMPPUMP
761,verticalin line,IfcPump.VERTICALINLINE
762,vertical turbine,IfcPump.VERTICALTURBINE
763,user defined,IfcPump.USERDEFINED
764,not defined,IfcPump.NOTDEFINED
765,convector,IfcSpaceHeater.CONVECTOR
766,radiator,IfcSpaceHeater.RADIATOR
767,user defined,IfcSpaceHeater.USERDEFINED
768,not defined,IfcSpaceHeater.NOTDEFINED
769,basin,IfcTank.BASIN
770,break pressure,IfcTank.BREAKPRESSURE
771,expansion,IfcTank.EXPANSION
772,feedand expansion,IfcTank.FEEDANDEXPANSION
773,oilretention tray,IfcTank.OILRETENTIONTRAY
774,pressure vessel,IfcTank.PRESSUREVESSEL
775,storage,IfcTank.STORAGE
776,vessel,IfcTank.VESSEL
777,user defined,IfcTank.USERDEFINED
778,not defined,IfcTank.NOTDEFINED
779,finned,IfcTubeBundle.FINNED
780,user defined,IfcTubeBundle.USERDEFINED
781,not defined,IfcTubeBundle.NOTDEFINED
782,airconditioning unit,IfcUnitaryEquipment.AIRCONDITIONINGUNIT
783,air handler,IfcUnitaryEquipment.AIRHANDLER
784,dehumidif ier,IfcUnitaryEquipment.DEHUMIDIFIER
785,rooftop unit,IfcUnitaryEquipment.ROOFTOPUNIT
786,split system,IfcUnitaryEquipment.SPLITSYSTEM
787,user defined,IfcUnitaryEquipment.USERDEFINED
788,not defined,IfcUnitaryEquipment.NOTDEFINED
789,air release,IfcValve.AIRRELEASE
790,anti vacuum,IfcValve.ANTIVACUUM
791,changeover,IfcValve.CHANGEOVER
792,check,IfcValve.CHECK
793,commissioning,IfcValve.COMMISSIONING
794,diverting,IfcValve.DIVERTING
795,double check,IfcValve.DOUBLECHECK
796,double regulating,IfcValve.DOUBLEREGULATING
797,drawoff cock,IfcValve.DRAWOFFCOCK
798,faucet,IfcValve.FAUCET
799,flushing,IfcValve.FLUSHING
800,gas cock,IfcValve.GASCOCK
801,gas tap,IfcValve.GASTAP
802,isolating,IfcValve.ISOLATING
803,mixing,IfcValve.MIXING
804,pressure reducing,IfcValve.PRESSUREREDUCING
805,pressure relief,IfcValve.PRESSURERELIEF
806,regulating,IfcValve.REGULATING
807,safety cutoff,IfcValve.SAFETYCUTOFF
808,steam trap,IfcValve.STEAMTRAP
809,stopcock,IfcValve.STOPCOCK
810,user defined,IfcValve.USERDEFINED
811,not defined,IfcValve.NOTDEFINED
812,base,IfcVibrationIsolator.BASE
813,compression,IfcVibrationIsolator.COMPRESSION
814,spring,IfcVibrationIsolator.SPRING
815,user defined,IfcVibrationIsolator.USERDEFINED
816,not defined,IfcVibrationIsolator.NOTDEFINED
817,breeching inlet,IfcFireSuppressionTerminal.BREECHINGINLET
818,fire hydrant,IfcFireSuppressionTerminal.FIREHYDRANT
819,fire monitor,IfcFireSuppressionTerminal.FIREMONITOR
820,hose reel,IfcFireSuppressionTerminal.HOSEREEL
821,sprinkler,IfcFireSuppressionTerminal.SPRINKLER
822,sprinkler deflector,IfcFireSuppressionTerminal.SPRINKLERDEFLECTOR
823,user defined,IfcFireSuppressionTerminal.USERDEFINED
824,not defined,IfcFireSuppressionTerminal.NOTDEFINED
825,cyclonic,IfcInterceptor.CYCLONIC
826,grease,IfcInterceptor.GREASE
827,oil,IfcInterceptor.OIL
828,petrol,IfcInterceptor.PETROL
829,user defined,IfcInterceptor.USERDEFINED
830,not defined,IfcInterceptor.NOTDEFINED
831,bath,IfcSanitaryTerminal.BATH
832,bidet,IfcSanitaryTerminal.BIDET
833,cistern,IfcSanitaryTerminal.CISTERN
834,sanitary fountain,IfcSanitaryTerminal.SANITARYFOUNTAIN
835,shower,IfcSanitaryTerminal.SHOWER
836,sink,IfcSanitaryTerminal.SINK
837,toilet pan,IfcSanitaryTerminal.TOILETPAN
838,urinal,IfcSanitaryTerminal.URINAL
839,wash handbasin,IfcSanitaryTerminal.WASHHANDBASIN
840,wc seat,IfcSanitaryTerminal.WCSEAT
841,user defined,IfcSanitaryTerminal.USERDEFINED
842,not defined,IfcSanitaryTerminal.NOTDEFINED
843,birdcage,IfcStackTerminal.BIRDCAGE
844,cowl,IfcStackTerminal.COWL
845,rainwater hopper,IfcStackTerminal.RAINWATERHOPPER
846,user defined,IfcStackTerminal.USERDEFINED
847,not defined,IfcStackTerminal.NOTDEFINED
848,floor trap,IfcWasteTerminal.FLOORTRAP
849,floor waste,IfcWasteTerminal.FLOORWASTE
850,gully sump,IfcWasteTerminal.GULLYSUMP
851,gully trap,IfcWasteTerminal.GULLYTRAP
852,roof drain,IfcWasteTerminal.ROOFDRAIN
853,wastedisposal unit,IfcWasteTerminal.WASTEDISPOSALUNIT
854,waste trap,IfcWasteTerminal.WASTETRAP
855,user defined,IfcWasteTerminal.USERDEFINED
856,not defined,IfcWasteTerminal.NOTDEFINED
857,belt conveyor,IfcConveyorSegment.BELTCONVEYOR
858,bucket conveyor,IfcConveyorSegment.BUCKETCONVEYOR
859,chute conveyor,IfcConveyorSegment.CHUTECONVEYOR
860,screw conveyor,IfcConveyorSegment.SCREWCONVEYOR
861,user defined,IfcConveyorSegment.USERDEFINED
862,not defined,IfcConveyorSegment.NOTDEFINED
863,hose reel,IfcLiquidTerminal.HOSEREEL
864,loading arm,IfcLiquidTerminal.LOADINGARM
865,user defined,IfcLiquidTerminal.USERDEFINED
866,not defined,IfcLiquidTerminal.NOTDEFINED
867,barrier beach,IfcMarineFacility.BARRIERBEACH
868,breakwater,IfcMarineFacility.BREAKWATER
869,canal,IfcMarineFacility.CANAL
870,drydock,IfcMarineFacility.DRYDOCK
871,floating dock,IfcMarineFacility.FLOATINGDOCK
872,hydro lift,IfcMarineFacility.HYDROLIFT
873,jetty,IfcMarineFacility.JETTY
874,launch recovery,IfcMarineFacility.LAUNCHRECOVERY
875,marine defence,IfcMarineFacility.MARINEDEFENCE
876,navigational channel,IfcMarineFacility.NAVIGATIONALCHANNEL
877,port,IfcMarineFacility.PORT
878,quay,IfcMarineFacility.QUAY
879,revetment,IfcMarineFacility.REVETMENT
880,ship lift,IfcMarineFacility.SHIPLIFT
881,ship lock,IfcMarineFacility.SHIPLOCK
882,shipyard,IfcMarineFacility.SHIPYARD
883,slipway,IfcMarineFacility.SLIPWAY
884,waterway,IfcMarineFacility.WATERWAY
885,waterwayship lift,IfcMarineFacility.WATERWAYSHIPLIFT
886,user defined,IfcMarineFacility.USERDEFINED
887,not defined,IfcMarineFacility.NOTDEFINED
888,above waterline,IfcMarinePart.ABOVEWATERLINE
889,anchorage,IfcMarinePart.ANCHORAGE
890,approach channel,IfcMarinePart.APPROACHCHANNEL
891,below waterline,IfcMarinePart.BELOWWATERLINE
892,berthing structure,IfcMarinePart.BERTHINGSTRUCTURE
893,chamber,IfcMarinePart.CHAMBER
894,cill_ level,IfcMarinePart.CILL_LEVEL
895,cope level,IfcMarinePart.COPELEVEL
896,core,IfcMarinePart.CORE
897,crest,IfcMarinePart.CREST
898,gate head,IfcMarinePart.GATEHEAD
899,guding structure,IfcMarinePart.GUDINGSTRUCTURE
900,high waterline,IfcMarinePart.HIGHWATERLINE
901,land field,IfcMarinePart.LANDFIELD
902,leeward side,IfcMarinePart.LEEWARDSIDE
903,low waterline,IfcMarinePart.LOWWATERLINE
904,manufacturing,IfcMarinePart.MANUFACTURING
905,navigational area,IfcMarinePart.NAVIGATIONALAREA
906,protection,IfcMarinePart.PROTECTION
907,ship transfer,IfcMarinePart.SHIPTRANSFER
908,storage area,IfcMarinePart.STORAGEAREA
909,vehicle servicing,IfcMarinePart.VEHICLESERVICING
910,water field,IfcMarinePart.WATERFIELD
911,weather side,IfcMarinePart.WEATHERSIDE
912,user defined,IfcMarinePart.USERDEFINED
913,not defined,IfcMarinePart.NOTDEFINED
914,bollard,IfcMooringDevice.BOLLARD
915,linetensi oner,IfcMooringDevice.LINETENSIONER
916,magnetic device,IfcMooringDevice.MAGNETICDEVICE
917,mooring hooks,IfcMooringDevice.MOORINGHOOKS
918,vacuum device,IfcMooringDevice.VACUUMDEVICE
919,user defined,IfcMooringDevice.USERDEFINED
920,not defined,IfcMooringDevice.NOTDEFINED
921,beacon,IfcNavigationElement.BEACON
922,buoy,IfcNavigationElement.BUOY
923,user defined,IfcNavigationElement.USERDEFINED
924,not defined,IfcNavigationElement.NOTDEFINED
925,move,IfcTask.MOVE
926,user defined,IfcAlignment.USERDEFINED
927,not defined,IfcAlignment.NOTDEFINED
928,asbuilt area,IfcAnnotation.ASBUILTAREA
929,asbuilt line,IfcAnnotation.ASBUILTLINE
930,asbuilt point,IfcAnnotation.ASBUILTPOINT
931,assumed area,IfcAnnotation.ASSUMEDAREA
932,assu medline,IfcAnnotation.ASSUMEDLINE
933,assumed point,IfcAnnotation.ASSUMEDPOINT
934,non_physical_ signal,IfcAnnotation.NON_PHYSICAL_SIGNAL
935,superelevation event,IfcAnnotation.SUPERELEVATIONEVENT
936,width event,IfcAnnotation.WIDTHEVENT
937,user defined,IfcAnnotation.USERDEFINED
938,not defined,IfcAnnotation.NOTDEFINED
939,arched,IfcBridge.ARCHED
940,cable_ stayed,IfcBridge.CABLE_STAYED
941,cantilever,IfcBridge.CANTILEVER
942,culvert,IfcBridge.CULVERT
943,framework,IfcBridge.FRAMEWORK
944,girder,IfcBridge.GIRDER
945,suspension,IfcBridge.SUSPENSION
946,truss,IfcBridge.TRUSS
947,user defined,IfcBridge.USERDEFINED
948,not defined,IfcBridge.NOTDEFINED
949,abutment,IfcBridgePart.ABUTMENT
950,deck,IfcBridgePart.DECK
951,deck_ segment,IfcBridgePart.DECK_SEGMENT
952,foundation,IfcBridgePart.FOUNDATION
953,pier,IfcBridgePart.PIER
954,pier_ segment,IfcBridgePart.PIER_SEGMENT
955,pylon,IfcBridgePart.PYLON
956,substructure,IfcBridgePart.SUBSTRUCTURE
957,superstructure,IfcBridgePart.SUPERSTRUCTURE
958,surface structure,IfcBridgePart.SURFACESTRUCTURE
959,user defined,IfcBridgePart.USERDEFINED
960,not defined,IfcBridgePart.NOTDEFINED
961,railway line,IfcBuiltSystem.RAILWAYLINE
962,railway track,IfcBuiltSystem.RAILWAYTRACK
963,abutment,IfcElementAssembly.ABUTMENT
964,accessory_ assembly,IfcElementAssembly.ACCESSORY_ASSEMBLY
965,arch,IfcElementAssembly.ARCH
966,beam_ grid,IfcElementAssembly.BEAM_GRID
967,braced_ frame,IfcElementAssembly.BRACED_FRAME
968,cross_ bracing,IfcElementAssembly.CROSS_BRACING
969,deck,IfcElementAssembly.DECK
970,dilatation panel,IfcElementAssembly.DILATATIONPANEL
971,entrance works,IfcElementAssembly.ENTRANCEWORKS
972,girder,IfcElementAssembly.GIRDER
973,grid,IfcElementAssembly.GRID
974,mast,IfcElementAssembly.MAST
975,pier,IfcElementAssembly.PIER
976,pylon,IfcElementAssembly.PYLON
977,rail_mechanical_equipment_ assembly,IfcElementAssembly.RAIL_MECHANICAL_EQUIPMENT_ASSEMBLY
978,reinforcement_ unit,IfcElementAssembly.REINFORCEMENT_UNIT
979,rigid_ frame,IfcElementAssembly.RIGID_FRAME
980,shelter,IfcElementAssembly.SHELTER
981,signal assembly,IfcElementAssembly.SIGNALASSEMBLY
982,slab_ field,IfcElementAssembly.SLAB_FIELD
983,sump buster,IfcElementAssembly.SUMPBUSTER
984,supporting assembly,IfcElementAssembly.SUPPORTINGASSEMBLY
985,suspension assembly,IfcElementAssembly.SUSPENSIONASSEMBLY
986,track panel,IfcElementAssembly.TRACKPANEL
987,traction_switching_ assembly,IfcElementAssembly.TRACTION_SWITCHING_ASSEMBLY
988,traffic_calming_ device,IfcElementAssembly.TRAFFIC_CALMING_DEVICE
989,truss,IfcElementAssembly.TRUSS
990,turnout panel,IfcElementAssembly.TURNOUTPANEL
991,user defined,IfcElementAssembly.USERDEFINED
992,not defined,IfcElementAssembly.NOTDEFINED
993,external,IfcExternalSpatialElement.EXTERNAL
994,external_ earth,IfcExternalSpatialElement.EXTERNAL_EARTH
995,external_ fire,IfcExternalSpatialElement.EXTERNAL_FIRE
996,external_ water,IfcExternalSpatialElement.EXTERNAL_WATER
997,user defined,IfcExternalSpatialElement.USERDEFINED
998,not defined,IfcExternalSpatialElement.NOTDEFINED
999,aboveground,IfcFacilityPartCommon.ABOVEGROUND
1000,belowground,IfcFacilityPartCommon.BELOWGROUND
1001,junction,IfcFacilityPartCommon.JUNCTION
1002,le velcrossing,IfcFacilityPartCommon.LEVELCROSSING
1003,segment,IfcFacilityPartCommon.SEGMENT
1004,substructure,IfcFacilityPartCommon.SUBSTRUCTURE
1005,superstructure,IfcFacilityPartCommon.SUPERSTRUCTURE
1006,terminal,IfcFacilityPartCommon.TERMINAL
1007,user defined,IfcFacilityPartCommon.USERDEFINED
1008,not defined,IfcFacilityPartCommon.NOTDEFINED
1009,soil_boring_ point,IfcGeographicElement.SOIL_BORING_POINT
1010,terrain,IfcGeographicElement.TERRAIN
1011,vegetation,IfcGeographicElement.VEGETATION
1012,user defined,IfcGeographicElement.USERDEFINED
1013,not defined,IfcGeographicElement.NOTDEFINED
1014,irregular,IfcGrid.IRREGULAR
1015,radial,IfcGrid.RADIAL
1016,rectangular,IfcGrid.RECTANGULAR
1017,triangular,IfcGrid.TRIANGULAR
1018,user defined,IfcGrid.USERDEFINED
1019,not defined,IfcGrid.NOTDEFINED
1020,bumper,IfcImpactProtectionDevice.BUMPER
1021,crash cushion,IfcImpactProtectionDevice.CRASHCUSHION
1022,damping system,IfcImpactProtectionDevice.DAMPINGSYSTEM
1023,fender,IfcImpactProtectionDevice.FENDER
1024,user defined,IfcImpactProtectionDevice.USERDEFINED
1025,not defined,IfcImpactProtectionDevice.NOTDEFINED
1026,opening,IfcOpeningElement.OPENING
1027,recess,IfcOpeningElement.RECESS
1028,user defined,IfcOpeningElement.USERDEFINED
1029,not defined,IfcOpeningElement.NOTDEFINED
1030,blister,IfcProjectionElement.BLISTER
1031,devia tor,IfcProjectionElement.DEVIATOR
1032,user defined,IfcProjectionElement.USERDEFINED
1033,not defined,IfcProjectionElement.NOTDEFINED
1034,boundary,IfcReferent.BOUNDARY
1035,intersection,IfcReferent.INTERSECTION
1036,kilo point,IfcReferent.KILOPOINT
1037,landmark,IfcReferent.LANDMARK
1038,mile point,IfcReferent.MILEPOINT
1039,position,IfcReferent.POSITION
1040,reference marker,IfcReferent.REFERENCEMARKER
1041,station,IfcReferent.STATION
1042,user defined,IfcReferent.USERDEFINED
1043,not defined,IfcReferent.NOTDEFINED
1044,berth,IfcSpace.BERTH
1045,external,IfcSpace.EXTERNAL
1046,g fa,IfcSpace.GFA
1047,internal,IfcSpace.INTERNAL
1048,parking,IfcSpace.PARKING
1049,  space,IfcSpace.SPACE
1050,user defined,IfcSpace.USERDEFINED
1051,not defined,IfcSpace.NOTDEFINED
1052,construction,IfcSpatialZone.CONSTRUCTION
1053,fire safety,IfcSpatialZone.FIRESAFETY
1054,interference,IfcSpatialZone.INTERFERENCE
1055,lighting,IfcSpatialZone.LIGHTING
1056,occupancy,IfcSpatialZone.OCCUPANCY
1057,reservation,IfcSpatialZone.RESERVATION
1058,security,IfcSpatialZone.SECURITY
1059,thermal,IfcSpatialZone.THERMAL
1060,transport,IfcSpatialZone.TRANSPORT
1061,ventilation,IfcSpatialZone.VENTILATION
1062,user defined,IfcSpatialZone.USERDEFINED
1063,not defined,IfcSpatialZone.NOTDEFINED
1064,crane way,IfcTransportElement.CRANEWAY
1065,elevator,IfcTransportElement.ELEVATOR
1066,escalator,IfcTransportElement.ESCALATOR
1067,hauling gear,IfcTransportElement.HAULINGGEAR
1068,lifting gear,IfcTransportElement.LIFTINGGEAR
1069,moving walkway,IfcTransportElement.MOVINGWALKWAY
1070,user defined,IfcTransportElement.USERDEFINED
1071,not defined,IfcTransportElement.NOTDEFINED
1072,cargo,IfcVehicle.CARGO
1073,rolling stock,IfcVehicle.ROLLINGSTOCK
1074,  vehicle,IfcVehicle.VEHICLE
1075, vehicle air,IfcVehicle.VEHICLEAIR
1076, vehicle marine,IfcVehicle.VEHICLEMARINE
1077, vehicle tracked,IfcVehicle.VEHICLETRACKED
1078, vehicle wheeled,IfcVehicle.VEHICLEWHEELED
1079,user defined,IfcVehicle.USERDEFINED
1080,not defined,IfcVehicle.NOTDEFINED
1081,axial_ yield,IfcVibrationDamper.AXIAL_YIELD
1082,bending_ yield,IfcVibrationDamper.BENDING_YIELD
1083,friction,IfcVibrationDamper.FRICTION
1084,rubber,IfcVibrationDamper.RUBBER
1085,shear_ yield,IfcVibrationDamper.SHEAR_YIELD
1086,viscous,IfcVibrationDamper.VISCOUS
1087,user defined,IfcVibrationDamper.USERDEFINED
1088,not defined,IfcVibrationDamper.NOTDEFINED
1089,boundary,IfcVirtualElement.BOUNDARY
1090,clearance,IfcVirtualElement.CLEARANCE
1091,provisionfor void,IfcVirtualElement.PROVISIONFORVOID
1092,user defined,IfcVirtualElement.USERDEFINED
1093,not defined,IfcVirtualElement.NOTDEFINED
1094,blade,IfcRail.BLADE
